diagnosis_code,description
65363002,Otitis media (disorder)
444814009,Viral sinusitis (disorder)
314529007,Medication review due (situation)
713458007,Lack of access to transportation (finding)
87433001,Pulmonary emphysema (disorder)
714628002,Prediabetes (finding)
160904001,Part-time employment (finding)
160903007,Full-time employment (finding)
73595000,Stress (finding)
66383009,Gingivitis (disorder)
18718003,Gingival disease (disorder)
423315002,Limited social contact (finding)
82423001,Chronic pain (finding)
278860009,Chronic low back pain (finding)
68496003,Polyp of colon (disorder)
741062008,Not in labor force (finding)
422650009,Social isolation (finding)
706893006,Victim of intimate partner abuse (finding)
109570002,Primary dental caries (disorder)
427898007,Infection of tooth (disorder)
424393004,Reports of violence in the environment (finding)
125605004,Fracture of bone (disorder)
16114001,Fracture of ankle (disorder)
278598003,Leaking dental filling (finding)
473461003,Educated to high school level (finding)
266934004,Transport problem (finding)
271737000,Anemia (disorder)
162864005,Body mass index 30+ - obesity (finding)
266948004,Has a criminal record (finding)
195662009,Acute viral pharyngitis (disorder)
36971009,Sinusitis (disorder)
40055000,Chronic sinusitis (disorder)
160968000,Risk activity involvement (finding)
414545008,Ischemic heart disease (disorder)
274531002,Abnormal findings diagnostic imaging heart+coronary circulat (finding)
399261000,History of coronary artery bypass grafting (situation)
224299000,Received higher education (finding)
5602001,Opioid abuse (disorder)
307426000,Acute infective cystitis (disorder)
267020005,History of tubal ligation (situation)
431855005,Chronic kidney disease stage 1 (disorder)
127013003,Disorder of kidney due to diabetes mellitus (disorder)
1187604002,Serving in military service (finding)
59621000,Essential hypertension (disorder)
90781000119102,Microalbuminuria due to type 2 diabetes mellitus (disorder)
401314000,Acute non-ST segment elevation myocardial infarction (disorder)
37320007,Loss of teeth (disorder)
161665007,History of renal transplant (situation)
237602007,Metabolic syndrome X (disorder)
10509002,Acute bronchitis (disorder)
39898005,Sleep disorder (disorder)
73438004,Unemployed (finding)
278602001,Loose dental filling (finding)
278558000,Dental filling lost (finding)
232353008,Perennial allergic rhinitis with seasonal variation (disorder)
72892002,Normal pregnancy (finding)
33737001,Fracture of rib (disorder)
105531004,Housing unsatisfactory (finding)
43878008,Streptococcal sore throat (disorder)
1121000119107,Chronic neck pain (finding)
44054006,Diabetes mellitus type 2 (disorder)
22298006,Myocardial infarction (disorder)
61804006,Alveolitis of jaw (disorder)
267102003,Sore throat (finding)
84229001,Fatigue (finding)
386661006,Fever (finding)
840539006,Disease caused by severe acute respiratory syndrome coronavirus 2 (disorder)
90460009,Injury of neck (disorder)
39848009,Whiplash injury to neck (disorder)
263102004,Fracture subluxation of wrist (disorder)
840544004,Suspected disease caused by Severe acute respiratory coronavirus 2 (situation)
49727002,Cough (finding)
248595008,Sputum finding (finding)
267036007,Dyspnea (finding)
56018004,Wheezing (finding)
43724002,Chill (finding)
384709000,Sprain (morphologic abnormality)
44465007,Sprain of ankle (disorder)
398254007,Pre-eclampsia (disorder)
431856006,Chronic kidney disease stage 2 (disorder)
10939881000119105,Unhealthy alcohol drinking behavior (finding)
428251008,History of appendectomy (situation)
56786000,Pulmonic valve stenosis (disorder)
19169002,Miscarriage in first trimester (disorder)
35999006,Blighted ovum (disorder)
161744009,Past pregnancy history of miscarriage (situation)
239872002,Osteoarthritis of hip (disorder)
224295006,Only received primary school education (finding)
312608009,Laceration - injury (disorder)
284551006,Laceration of foot (disorder)
91434003,Pulmonic valve regurgitation (disorder)
65966004,Fracture of forearm (disorder)
283371005,Laceration of forearm (disorder)
70704007,Sprain of wrist (disorder)
443165006,Osteoporotic fracture of bone (disorder)
24079001,Atopic dermatitis (disorder)
26929004,Alzheimer's disease (disorder)
80583007,Severe anxiety (panic) (finding)
368581000119106,Neuropathy due to type 2 diabetes mellitus (disorder)
302870006,Hypertriglyceridemia (disorder)
422034002,Retinopathy due to type 2 diabetes mellitus (disorder)
1551000119108,Nonproliferative retinopathy due to type 2 diabetes mellitus (disorder)
278588009,Fractured dental filling (finding)
196416002,Impacted molars (disorder)
32911000,Homeless (finding)
55680006,Drug overdose
183996000,Sterilization requested (situation)
370247008,Facial laceration (disorder)
91302008,Sepsis (disorder)
197927001,Recurrent urinary tract infection (disorder)
83664006,Idiopathic atrophic hypothyroidism (disorder)
75498004,Acute bacterial sinusitis (disorder)
6525002,Dependent drug abuse (disorder)
361055000,Misuses drugs (finding)
58150001,Fracture of clavicle (disorder)
46752004,Torus palatinus (disorder)
73430006,Sleep apnea (disorder)
25064002,Headache (finding)
36955009,Loss of taste (finding)
233678006,Childhood asthma (disorder)
433144002,Chronic kidney disease stage 3 (disorder)
157141000119108,Proteinuria due to type 2 diabetes mellitus (disorder)
125601008,Injury of knee (disorder)
444470001,Injury of anterior cruciate ligament (disorder)
431857002,Chronic kidney disease stage 4 (disorder)
698306007,Awaiting transplantation of kidney (situation)
239873007,Osteoarthritis of knee (disorder)
80394007,Hyperglycemia (disorder)
359817006,Closed fracture of hip (disorder)
713197008,Recurrent rectal polyp (disorder)
109838007,Overlapping malignant neoplasm of colon (disorder)
88805009,Chronic congestive heart failure (disorder)
