drug_code,description
198405,Ibuprofen 100 MG Oral Tablet
1535362,sodium fluoride 0.0272 MG/MG Oral Gel
308192,Amoxicillin 500 MG Oral Tablet
313820,Acetaminophen 160 MG Chewable Tablet
245314,albuterol 5 MG/ML Inhalation Solution
896209,60 ACTUAT Fluticasone propionate 0.25 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler
209387,Acetaminophen 325 MG Oral Tablet [Tylenol]
856987,Acetaminophen 300 MG / Hydrocodone Bitartrate 5 MG Oral Tablet
206905,Ibuprofen 400 MG Oral Tablet [Ibu]
309097,Cefuroxime 250 MG Oral Tablet
849574,Naproxen sodium 220 MG Oral Tablet
1049625,Acetaminophen 325 MG / Oxycodone Hydrochloride 10 MG Oral Tablet [Percocet]
310965,Ibuprofen 200 MG Oral Tablet
665078,Loratadine 5 MG Chewable Tablet
1870230,NDA020800 0.3 ML Epinephrine 1 MG/ML Auto-Injector
616830,budesonide 0.125 MG/ML Inhalation Suspension [Pulmicort]
630208,albuterol 0.83 MG/ML Inhalation Solution
314076,lisinopril 10 MG Oral Tablet
562251,Amoxicillin 250 MG / Clavulanate 125 MG Oral Tablet
308136,amLODIPine 2.5 MG Oral Tablet
309362,Clopidogrel 75 MG Oral Tablet
312961,Simvastatin 20 MG Oral Tablet
866412,24 HR metoprolol succinate 100 MG Extended Release Oral Tablet
705129,Nitroglycerin 0.4 MG/ACTUAT Mucosal Spray
1665060,cefazolin 2000 MG Injection
1659263,1 ML heparin sodium  porcine 5000 UNT/ML Injection
1796676,25 ML protamine sulfate (USP) 10 MG/ML Injection
1740467,2 ML Ondansetron 2 MG/ML Injection
311700,Midazolam 1 MG/ML Injectable Solution
1808217,100 ML Propofol 10 MG/ML Injection
1234995,Rocuronium bromide 10 MG/ML Injectable Solution
542347,isoflurane 99.9 % Inhalation Solution
1735006,10 ML Fentanyl 0.05 MG/ML Injection
807283,Mirena 52 MG Intrauterine System
751905,Trinessa 28 Day Pack
351266,buprenorphine 2 MG / naloxone 0.5 MG Sublingual Tablet
1860491,12 HR Hydrocodone Bitartrate 10 MG Extended Release Oral Capsule
748879,Levora 0.15/30 28 Day Pack
1648755,nitrofurantoin  macrocrystals 25 MG / nitrofurantoin  monohydrate 75 MG Oral Capsule
106892,insulin isophane  human 70 UNT/ML / insulin  regular  human 30 UNT/ML Injectable Suspension [Humulin]
310798,Hydrochlorothiazide 25 MG Oral Tablet
1664463,24 HR tacrolimus 1 MG Extended Release Oral Tablet
313782,Acetaminophen 325 MG Oral Tablet
309309,ciprofloxacin 500 MG Oral Tablet
349094,budesonide 0.125 MG/ML Inhalation Suspension
749762,Seasonique 91 Day Pack
106258,Hydrocortisone 10 MG/ML Topical Cream
1049630,diphenhydrAMINE Hydrochloride 25 MG Oral Tablet
834102,Penicillin V Potassium 500 MG Oral Tablet
1049504,Abuse-Deterrent 12 HR Oxycodone Hydrochloride 10 MG Extended Release Oral Tablet [Oxycontin]
245134,72 HR Fentanyl 0.025 MG/HR Transdermal System
198039,nitroglycerin 0.4 MG Sublingual Tablet
1014678,cetirizine hydrochloride 10 MG Oral Tablet
757594,Jolivette 28 Day Pack
1367439,NuvaRing 0.12/0.015 MG per 24HR 21 Day Vaginal System
389221,Etonogestrel 68 MG Drug Implant
835603,tramadol hydrochloride 50 MG Oral Tablet
1534809,168 HR Ethinyl Estradiol 0.00146 MG/HR / norelgestromin 0.00625 MG/HR Transdermal System
834061,Penicillin V Potassium 250 MG Oral Tablet
978950,Natazia 28 Day Pack
197454,cephalexin 500 MG Oral Tablet
1000126,1 ML medroxyprogesterone acetate 150 MG/ML Injection
2001499,Vitamin B12 5 MG/ML Injectable Solution
748856,Yaz 28 Day Pack
993770,Acetaminophen 300 MG / Codeine Phosphate 15 MG Oral Tablet
896001,120 ACTUAT fluticasone propionate 0.11 MG/ACTUAT Metered Dose Inhaler [Flovent]
745752,NDA021457 200 ACTUAT albuterol 0.09 MG/ACTUAT Metered Dose Inhaler [ProAir]
314231,Simvastatin 10 MG Oral Tablet
1656356,sacubitril 97 MG / valsartan 103 MG Oral Tablet
1729584,remifentanil 2 MG Injection
904419,Alendronic acid 10 MG Oral Tablet
310436,Galantamine 4 MG Oral Tablet
197511,ciprofloxacin 250 MG Oral Tablet
1049221,Acetaminophen 325 MG / Oxycodone Hydrochloride 5 MG Oral Tablet
1860154,Abuse-Deterrent 12 HR Oxycodone Hydrochloride 15 MG Extended Release Oral Tablet
212033,aspirin 325 MG Oral Tablet
1728805,2 ML morphine sulfate 1 MG/ML Injection
1659131,piperacillin 2000 MG / tazobactam 250 MG Injection
1807510,150 ML vancomycin 5 MG/ML Injection
351136,albuterol 0.417 MG/ML Inhalation Solution
996740,Memantine hydrochloride 2 MG/ML Oral Solution
966222,Levothyroxine Sodium 0.075 MG Oral Tablet
308182,Amoxicillin 250 MG Oral Capsule
857005,Acetaminophen 325 MG / HYDROcodone Bitartrate 7.5 MG Oral Tablet
1043400,Acetaminophen 21.7 MG/ML / Dextromethorphan Hydrobromide 1 MG/ML / doxylamine succinate 0.417 MG/ML Oral Solution
859088,NDA020983 200 ACTUAT albuterol 0.09 MG/ACTUAT Metered Dose Inhaler [Ventolin]
205923,1 ML Epoetin Alfa 4000 UNT/ML Injection [Epogen]
860975,24 HR Metformin hydrochloride 500 MG Extended Release Oral Tablet
108515,1 ML tacrolimus 5 MG/ML Injection
831533,Errin 28 Day Pack
314077,lisinopril 20 MG Oral Tablet
