procedure_code,description
430193006,Medication reconciliation (procedure)
103697008,Patient referral for dental care (procedure)
34043003,Dental consultation and report (procedure)
225362009,Dental care (regime/therapy)
1260009003,Removal of supragingival plaque and calculus from all teeth using dental instrument (procedure)
1260010008,Removal of subgingival plaque and calculus from all teeth using dental instrument (procedure)
274788003,Examination of gingivae (procedure)
243085009,Oral health education (procedure)
68071007,Dental fluoride treatment (procedure)
127783003,Spirometry (procedure)
710824005,Assessment of health and social care needs (procedure)
866148006,Screening for domestic abuse (procedure)
428211000124100,Assessment of substance use (procedure)
713106006,Screening for drug abuse (procedure)
171207006,Depression screening (procedure)
715252007,Depression screening using Patient Health Questionnaire Nine Item score (procedure)
868187001,Assessment using Car  Relax  Alone  Forget  Friends  Trouble Screening Test (procedure)
386516004,Anticipatory guidance (procedure)
241046008,Dental plain X-ray bitewing (procedure)
81733005,Dental surgical procedure (procedure)
3802001,Dental application of desensitizing medicament (procedure)
64544008,Gingivectomy or gingivoplasty  per tooth (procedure)
456191000124101,Postoperative care for dental procedure (regime/therapy)
710841007,Assessment of anxiety (procedure)
73761001,Colonoscopy (procedure)
104435004,Screening for occult blood in feces (procedure)
274031008,Rectal polypectomy (procedure)
763302001,Assessment using Alcohol Use Disorders Identification Test - Consumption (procedure)
1259293006,Application of composite dental filling material to dentin of tooth following fracture of tooth (procedure)
173291009,Simple extraction of tooth (procedure)
1290459008,Plain X-ray of ankle region (procedure)
274474001,Bone immobilization (procedure)
312681000,Bone density scan (procedure)
180256009,Subcutaneous immunotherapy (procedure)
395142003,Allergy screening test (procedure)
117015009,Throat culture (procedure)
370995009,Health risks education (procedure)
183519002,Referral to cardiology service (procedure)
698314001,Consultation for treatment (procedure)
33367005,Angiography of coronary artery (procedure)
736169004,Post anesthesia care management (procedure)
306185001,Referral to cardiac surgery service (procedure)
110467000,Pre-surgery testing (procedure)
44608003,Blood group typing (procedure)
29303009,Electrocardiographic procedure (procedure)
399208008,Plain X-ray of chest (procedure)
40701008,Echocardiography (procedure)
709138001,Notification of treatment plan (procedure)
410538000,Scheduling (procedure)
392247006,Insertion of catheter into artery (procedure)
410770002,Administration of anesthesia for procedure (procedure)
52765003,Intubation (procedure)
65677008,Pulmonary catheterization with Swan-Ganz catheter (procedure)
223495004,Preparation of patient for procedure (regime/therapy)
42825003,Cannulation (procedure)
63697000,Cardiopulmonary bypass operation (procedure)
301882004,Placement of aortic cross clamp (procedure)
8290005,Induced cardioplegia (procedure)
359672006,Median sternotomy (procedure)
232717009,Coronary artery bypass grafting (procedure)
399217008,Cardioassist by aortic balloon pump (procedure)
301884003,Removal of aortic cross clamp (procedure)
233553003,Vascular cannula removal (procedure)
23745001,Documentation procedure (procedure)
65200003,Insertion of intrauterine contraceptive device (procedure)
1263416007,Removal of intrauterine contraceptive device (procedure)
271442007,Fetal anatomy study (procedure)
275833003,Alpha-fetoprotein test - antenatal (procedure)
274804006,Evaluation of uterine fundal height (procedure)
225158009,Auscultation of the fetal heart (procedure)
5880005,Physical examination procedure (procedure)
408919008,Psychosocial care (regime/therapy)
84100007,History taking (procedure)
223470000,Discussion about signs and symptoms (procedure)
67879005,History and physical examination  limited (procedure)
183444007,Referral for further care (procedure)
386478007,Triage: emergency center (procedure)
61746007,Taking patient vital signs (procedure)
14736009,History and physical examination with evaluation and management of patient (procedure)
26604007,Complete blood count (procedure)
866146005,Serum metabolic panel (procedure)
441550005,Urinalysis with reflex to microscopy and culture (procedure)
57617002,Urine specimen collection (procedure)
281789004,Antibiotic therapy (procedure)
58000006,Patient discharge (procedure)
25656009,Physical examination  complete (procedure)
35025007,Manual pelvic examination (procedure)
90226004,Cytopathology procedure  preparation of smear  genital source (procedure)
71651007,Mammography (procedure)
234745004,Take oral or dental impression (procedure)
1256042007,Restoration of tooth with coverage of all cusps using dental filling material (procedure)
23426006,Measurement of respiratory function (procedure)
1269321004,Fitting of denture (procedure)
103750000,Sleep apnea assessment (procedure)
52052004,Rehabilitation therapy (regime/therapy)
415070008,Percutaneous coronary intervention (procedure)
63332003,History AND physical examination (procedure)
315639002,Initial patient assessment (procedure)
370789001,Development of individualized plan of care (procedure)
410401003,Nursing care/supplementary surveillance (regime/therapy)
311555007,Speech and language therapy regime (regime/therapy)
409023009,Professional / ancillary services care (regime/therapy)
84478008,Occupational therapy (regime/therapy)
225386006,Pre-discharge assessment (procedure)
308283009,Discharge from hospital (procedure)
448337001,Telemedicine consultation with patient (procedure)
386053000,Evaluation procedure (procedure)
440546007,Discussion about pregnancy (procedure)
252160004,Standard pregnancy test (procedure)
169230002,Ultrasound scan for fetal viability (procedure)
104091002,Hemogram  automated  with red blood cells  white blood cells  hemoglobin  hematocrit  indices  platelet count  and manual white blood cell differential (procedure)
47758006,Hepatitis B surface antigen measurement (procedure)
31676001,Human immunodeficiency virus antigen test (procedure)
310861008,Chlamydia antigen test (procedure)
165829005,Gonorrhea infection titer test (procedure)
269828009,Syphilis infectious titer test (procedure)
117010004,Urine culture (procedure)
395123002,Urine screening test for diabetes (procedure)
104375008,Hepatitis C antibody  confirmatory test (procedure)
314098000,Rubella screening test (procedure)
104326007,Measurement of Varicella-zoster virus antibody (procedure)
28163009,Skin test for tuberculosis  Tine test (procedure)
167271000,Urine protein test
169673001,Antenatal RhD antibody screening (procedure)
51116004,Passive immunization (procedure)
399014008,Administration of vaccine product containing only Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae antigens (procedure)
268556000,Urine screening for glucose (procedure)
229064008,Movement therapy (regime/therapy)
266753000,Referral for laboratory tests (procedure)
14768001,Peripheral blood smear interpretation (procedure)
415300000,Review of systems (procedure)
162676008,Brief general examination (procedure)
18946005,Epidural anesthesia (procedure)
66348005,Childbirth
287664005,Ligation of bilateral fallopian tubes (procedure)
133899007,Postoperative care (regime/therapy)
