diagnosis_code,description
314529007,Medication review due (situation)
312608009,Laceration - injury (disorder)
283385000,Laceration of thigh (disorder)
160968000,Risk activity involvement (finding)
224299000,Received higher education (finding)
422650009,Social isolation (finding)
161744009,Past pregnancy history of miscarriage (situation)
714628002,Prediabetes (finding)
423315002,Limited social contact (finding)
160903007,Full-time employment (finding)
66383009,Gingivitis (disorder)
72892002,Normal pregnancy (finding)
19169002,Miscarriage in first trimester (disorder)
156073000,Complete miscarriage (disorder)
10509002,Acute bronchitis (disorder)
65363002,Otitis media (disorder)
444814009,Viral sinusitis (disorder)
384709000,Sprain (morphologic abnormality)
44465007,Sprain of ankle (disorder)
195662009,Acute viral pharyngitis (disorder)
110030002,Concussion injury of brain (disorder)
62106007,Concussion with no loss of consciousness (disorder)
82423001,Chronic pain (finding)
278860009,Chronic low back pain (finding)
109570002,Primary dental caries (disorder)
224295006,Only received primary school education (finding)
75498004,Acute bacterial sinusitis (disorder)
40055000,Chronic sinusitis (disorder)
239873007,Osteoarthritis of knee (disorder)
125605004,Fracture of bone (disorder)
65966004,Fracture of forearm (disorder)
278602001,Loose dental filling (finding)
160904001,Part-time employment (finding)
73595000,Stress (finding)
284549007,Laceration of hand (disorder)
183996000,Sterilization requested (situation)
254837009,Malignant neoplasm of breast (disorder)
267020005,History of tubal ligation (situation)
741062008,Not in labor force (finding)
185086009,Chronic obstructive bronchitis (disorder)
105531004,Housing unsatisfactory (finding)
473461003,Educated to high school level (finding)
90460009,Injury of neck (disorder)
39848009,Whiplash injury to neck (disorder)
162864005,Body mass index 30+ - obesity (finding)
424393004,Reports of violence in the environment (finding)
18718003,Gingival disease (disorder)
80583007,Severe anxiety (panic) (finding)
428251008,History of appendectomy (situation)
266934004,Transport problem (finding)
713458007,Lack of access to transportation (finding)
271737000,Anemia (disorder)
446654005,Refugee (person)
398254007,Pre-eclampsia (disorder)
59621000,Essential hypertension (disorder)
203082005,Fibromyalgia (disorder)
361055000,Misuses drugs (finding)
283545005,Gunshot wound (disorder)
706893006,Victim of intimate partner abuse (finding)
55822004,Hyperlipidemia (disorder)
10939881000119105,Unhealthy alcohol drinking behavior (finding)
278558000,Dental filling lost (finding)
427898007,Infection of tooth (disorder)
43878008,Streptococcal sore throat (disorder)
62564004,Concussion with loss of consciousness (disorder)
128613002,Seizure disorder (disorder)
1290882004,History of seizure (situation)
84757009,Epilepsy (disorder)
73438004,Unemployed (finding)
127013003,Disorder of kidney due to diabetes mellitus (disorder)
90781000119102,Microalbuminuria due to type 2 diabetes mellitus (disorder)
157141000119108,Proteinuria due to type 2 diabetes mellitus (disorder)
237602007,Metabolic syndrome X (disorder)
161665007,History of renal transplant (situation)
37320007,Loss of teeth (disorder)
414545008,Ischemic heart disease (disorder)
274531002,Abnormal findings diagnostic imaging heart+coronary circulat (finding)
266948004,Has a criminal record (finding)
431855005,Chronic kidney disease stage 1 (disorder)
48333001,Burn injury (morphologic abnormality)
403190006,Epidermal burn of skin (disorder)
24079001,Atopic dermatitis (disorder)
840544004,Suspected disease caused by Severe acute respiratory coronavirus 2 (situation)
49727002,Cough (finding)
267102003,Sore throat (finding)
386661006,Fever (finding)
36955009,Loss of taste (finding)
840539006,Disease caused by severe acute respiratory syndrome coronavirus 2 (disorder)
44054006,Diabetes mellitus type 2 (disorder)
22298006,Myocardial infarction (disorder)
401314000,Acute non-ST segment elevation myocardial infarction (disorder)
399211009,History of myocardial infarction (situation)
302870006,Hypertriglyceridemia (disorder)
307426000,Acute infective cystitis (disorder)
36971009,Sinusitis (disorder)
233678006,Childhood asthma (disorder)
446096008,Perennial allergic rhinitis (disorder)
1121000119107,Chronic neck pain (finding)
431856006,Chronic kidney disease stage 2 (disorder)
422034002,Retinopathy due to type 2 diabetes mellitus (disorder)
399261000,History of coronary artery bypass grafting (situation)
58150001,Fracture of clavicle (disorder)
1551000119108,Nonproliferative retinopathy due to type 2 diabetes mellitus (disorder)
93143009,Leukemia  disease (disorder)
153351000119102,History of peripheral stem cell transplant (situation)
68496003,Polyp of colon (disorder)
713197008,Recurrent rectal polyp (disorder)
64859006,Osteoporosis (disorder)
125601008,Injury of knee (disorder)
267036007,Dyspnea (finding)
56018004,Wheezing (finding)
233604007,Pneumonia (disorder)
389087006,Hypoxemia (disorder)
271825005,Respiratory distress (finding)
65710008,Acute respiratory failure (disorder)
109838007,Overlapping malignant neoplasm of colon (disorder)
232353008,Perennial allergic rhinitis with seasonal variation (disorder)
70704007,Sprain of wrist (disorder)
197927001,Recurrent urinary tract infection (disorder)
278588009,Fractured dental filling (finding)
32911000,Homeless (finding)
307731004,Injury of tendon of the rotator cuff of shoulder (disorder)
367498001,Seasonal allergic rhinitis (disorder)
283371005,Laceration of forearm (disorder)
30832001,Rupture of patellar tendon (disorder)
80394007,Hyperglycemia (disorder)
39898005,Sleep disorder (disorder)
78275009,Obstructive sleep apnea syndrome (disorder)
201834006,Localized  primary osteoarthritis of the hand (disorder)
284551006,Laceration of foot (disorder)
1255252008,Resorption of alveolar process due to dental trauma (disorder)
88805009,Chronic congestive heart failure (disorder)
876882001,Died in hospice (finding)
16114001,Fracture of ankle (disorder)
263102004,Fracture subluxation of wrist (disorder)
91302008,Sepsis (disorder)
25064002,Headache (finding)
248595008,Sputum finding (finding)
770349000,Sepsis caused by virus (disorder)
196416002,Impacted molars (disorder)
6525002,Dependent drug abuse (disorder)
198992004,Eclampsia in pregnancy (disorder)
368581000119106,Neuropathy due to type 2 diabetes mellitus (disorder)
55680006,Drug overdose
95417003,Primary fibromyalgia syndrome (disorder)
239872002,Osteoarthritis of hip (disorder)
278598003,Leaking dental filling (finding)
33737001,Fracture of rib (disorder)
49436004,Atrial fibrillation (disorder)
84229001,Fatigue (finding)
43724002,Chill (finding)
192127007,Child attention deficit disorder (disorder)
433144002,Chronic kidney disease stage 3 (disorder)
698306007,Awaiting transplantation of kidney (situation)
431857002,Chronic kidney disease stage 4 (disorder)
46177005,End-stage renal disease (disorder)
263172003,Fracture of mandible (disorder)
408512008,Body mass index 40+ - severely obese (finding)
128188000,Cerebral palsy (disorder)
235595009,Gastroesophageal reflux disease (disorder)
370247008,Facial laceration (disorder)
241929008,Acute allergic reaction (disorder)
35999006,Blighted ovum (disorder)
68962001,Muscle pain (finding)
57676002,Joint pain (finding)
403191005,Partial thickness burn (disorder)
124171000119105,Chronic intractable migraine without aura (disorder)
132281000119108,Acute deep venous thrombosis (disorder)
61804006,Alveolitis of jaw (disorder)
5602001,Opioid abuse (disorder)
85116003,Miscarriage in second trimester (disorder)
267253006,Fetus with chromosomal abnormality (disorder)
73430006,Sleep apnea (disorder)
1187604002,Serving in military service (finding)
45816000,Pyelonephritis (disorder)
126906006,Neoplasm of prostate (disorder)
92691004,Carcinoma in situ of prostate (disorder)
401303003,Acute ST segment elevation myocardial infarction (disorder)
162573006,Suspected lung cancer (situation)
424132000,Non-small cell carcinoma of lung  TNM stage 1 (disorder)
315268008,Suspected prostate cancer (situation)
443165006,Osteoporotic fracture of bone (disorder)
76571007,Septic shock (disorder)
67782005,Acute respiratory distress syndrome (disorder)
26929004,Alzheimer's disease (disorder)
363406005,Malignant neoplasm of colon (disorder)
68235000,Nasal congestion (finding)
359817006,Closed fracture of hip (disorder)
46752004,Torus palatinus (disorder)
449868002,Smokes tobacco daily (finding)
37849005,Congenital uterine anomaly (disorder)
90560007,Inflammatory disorder due to increased blood urate level (disorder)
7200002,Alcoholism (disorder)
84114007,Heart failure (disorder)
87433001,Pulmonary emphysema (disorder)
213150003,Kidney transplant failure and rejection (disorder)
109989006,Multiple myeloma (disorder)
370143000,Major depressive disorder (disorder)
288959006,Unable to swallow saliva (finding)
60951000119105,Blindness due to type 2 diabetes mellitus (disorder)
236077008,Protracted diarrhea (finding)
195967001,Asthma (disorder)
47693006,Rupture of appendix (disorder)
27942005,Shock (disorder)
40275004,Contact dermatitis (disorder)
1501000119109,Proliferative retinopathy due to type 2 diabetes mellitus (disorder)
