drug_code,description
1049221,Acetaminophen 325 MG / oxyCODONE Hydrochloride 5 MG Oral Tablet
1535362,sodium fluoride 0.0272 MG/MG Oral Gel
310965,Ibuprofen 200 MG Oral Tablet
313782,Acetaminophen 325 MG Oral Tablet
997488,Fexofenadine hydrochloride 30 MG Oral Tablet
1870230,NDA020800 0.3 ML Epinephrine 1 MG/ML Auto-Injector
1014676,cetirizine hydrochloride 5 MG Oral Tablet
309097,Cefuroxime 250 MG Oral Tablet
313820,Acetaminophen 160 MG Chewable Tablet
198405,Ibuprofen 100 MG Oral Tablet
849574,Naproxen sodium 220 MG Oral Tablet
1734919,Cyclophosphamide 1000 MG Injection
243670,Aspirin 81 MG Oral Tablet
896209,60 ACTUAT Fluticasone propionate 0.25 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler
245314,albuterol 5 MG/ML Inhalation Solution
198240,Tamoxifen 10 MG Oral Tablet
197378,Astemizole 10 MG Oral Tablet
562251,Amoxicillin 250 MG / Clavulanate 125 MG Oral Tablet
1043400,Acetaminophen 21.7 MG/ML / Dextromethorphan Hydrobromide 1 MG/ML / doxylamine succinate 0.417 MG/ML Oral Solution
106258,Hydrocortisone 10 MG/ML Topical Cream
141918,Terfenadine 60 MG Oral Tablet
310325,ferrous sulfate 325 MG Oral Tablet
857005,Acetaminophen 325 MG / HYDROcodone Bitartrate 7.5 MG Oral Tablet
993770,Acetaminophen 300 MG / Codeine Phosphate 15 MG Oral Tablet
310798,Hydrochlorothiazide 25 MG Oral Tablet
1049625,Acetaminophen 325 MG / Oxycodone Hydrochloride 10 MG Oral Tablet [Percocet]
314076,lisinopril 10 MG Oral Tablet
308136,amLODIPine 2.5 MG Oral Tablet
314231,Simvastatin 10 MG Oral Tablet
978950,Natazia 28 Day Pack
831533,Errin 28 Day Pack
749762,Seasonique 91 Day Pack
308192,Amoxicillin 500 MG Oral Tablet
834061,Penicillin V Potassium 250 MG Oral Tablet
309362,Clopidogrel 75 MG Oral Tablet
312961,Simvastatin 20 MG Oral Tablet
866412,24 HR metoprolol succinate 100 MG Extended Release Oral Tablet
705129,Nitroglycerin 0.4 MG/ACTUAT Mucosal Spray
106892,insulin isophane  human 70 UNT/ML / insulin  regular  human 30 UNT/ML Injectable Suspension [Humulin]
1664463,24 HR tacrolimus 1 MG Extended Release Oral Tablet
477045,Chlorpheniramine Maleate 2 MG/ML Oral Solution
1000126,1 ML medroxyPROGESTERone acetate 150 MG/ML Injection
896001,120 ACTUAT fluticasone propionate 0.11 MG/ACTUAT Metered Dose Inhaler [Flovent]
630208,albuterol 0.83 MG/ML Inhalation Solution
2001499,Vitamin B12 5 MG/ML Injectable Solution
751905,Trinessa 28 Day Pack
748879,Levora 0.15/30 28 Day Pack
212033,aspirin 325 MG Oral Tablet
198039,nitroglycerin 0.4 MG Sublingual Tablet
1361048,heparin sodium  porcine 100 UNT/ML Injectable Solution
749196,clopidogrel 300 MG Oral Tablet
200032,carvedilol 12.5 MG Oral Tablet
617310,atorvastatin 20 MG Oral Tablet
855812,prasugrel 10 MG Oral Tablet
197454,cephalexin 500 MG Oral Tablet
1367439,NuvaRing 0.12/0.015 MG per 24HR 21 Day Vaginal System
665078,Loratadine 5 MG Chewable Tablet
351109,budesonide 0.25 MG/ML Inhalation Suspension
856987,Acetaminophen 300 MG / Hydrocodone Bitartrate 5 MG Oral Tablet
1860491,12 HR Hydrocodone Bitartrate 10 MG Extended Release Oral Capsule
1665060,cefazolin 2000 MG Injection
1659263,1 ML heparin sodium  porcine 5000 UNT/ML Injection
1796676,25 ML protamine sulfate (USP) 10 MG/ML Injection
1740467,2 ML Ondansetron 2 MG/ML Injection
311700,Midazolam 1 MG/ML Injectable Solution
1808217,100 ML Propofol 10 MG/ML Injection
1234995,Rocuronium bromide 10 MG/ML Injectable Solution
1729584,remifentanil 2 MG Injection
861467,Meperidine Hydrochloride 50 MG Oral Tablet
2563431,aspirin 81 MG Oral Capsule
904419,Alendronic acid 10 MG Oral Tablet
854235,0.4 ML Enoxaparin sodium 100 MG/ML Prefilled Syringe
198440,Acetaminophen 500 MG Oral Tablet
1803932,Leucovorin 100 MG Injection
1736776,10 ML oxaliplatin 5 MG/ML Injection
1998774,Breath-Actuated 120 ACTUAT beclomethasone dipropionate 0.04 MG/ACTUAT Metered Dose Inhaler [Qvar]
197511,ciprofloxacin 250 MG Oral Tablet
807283,Mirena 52 MG Intrauterine System
209387,Acetaminophen 325 MG Oral Tablet [Tylenol]
1534809,168 HR Ethinyl Estradiol 0.00146 MG/HR / norelgestromin 0.00625 MG/HR Transdermal System
617296,amoxicillin 500 MG / clavulanate 125 MG Oral Tablet
1648755,nitrofurantoin  macrocrystals 25 MG / nitrofurantoin  monohydrate 75 MG Oral Capsule
198335,sulfamethoxazole 800 MG / trimethoprim 160 MG Oral Tablet
757594,Jolivette 28 Day Pack
1649987,doxycycline hyclate 100 MG
835603,tramadol hydrochloride 50 MG Oral Tablet
245134,72 HR Fentanyl 0.025 MG/HR Transdermal System
308971,carbamazepine 20 MG/ML Oral Suspension [Tegretol]
206905,Ibuprofen 400 MG Oral Tablet [Ibu]
745752,NDA021457 200 ACTUAT albuterol 0.09 MG/ACTUAT Metered Dose Inhaler [ProAir]
349094,budesonide 0.125 MG/ML Inhalation Suspension
389221,Etonogestrel 68 MG Drug Implant
860975,24 HR Metformin hydrochloride 500 MG Extended Release Oral Tablet
834102,Penicillin V Potassium 500 MG Oral Tablet
748962,Camila 28 Day Pack
313988,Furosemide 40 MG Oral Tablet
1719286,10 ML Furosemide 10 MG/ML Injection
748856,Yaz 28 Day Pack
308182,Amoxicillin 250 MG Oral Capsule
1659131,piperacillin 2000 MG / tazobactam 250 MG Injection
1807510,150 ML vancomycin 5 MG/ML Injection
854252,1 ML Enoxaparin sodium 150 MG/ML Prefilled Syringe
583214,Paclitaxel 100 MG Injection
198014,Naproxen 500 MG Oral Tablet
1737466,100 ML tirofiban 0.05 MG/ML Injection
314077,lisinopril 20 MG Oral Tablet
309309,ciprofloxacin 500 MG Oral Tablet
242969,4 ML norepinephrine 1 MG/ML Injection
897685,verapamil hydrochloride 80 MG Oral Tablet
855332,Warfarin Sodium 5 MG Oral Tablet
197604,Digoxin 0.125 MG Oral Tablet
197591,Diazepam 5 MG Oral Tablet
204892,clonazePAM 0.25 MG Oral Tablet
1049630,diphenhydrAMINE Hydrochloride 25 MG Oral Tablet
241834,cycloSPORINE  modified 100 MG Oral Capsule
108515,1 ML tacrolimus 5 MG/ML Injection
312617,predniSONE 5 MG Oral Tablet
141962,Azithromycin 250 MG Oral Capsule
1860154,Abuse-Deterrent 12 HR Oxycodone Hydrochloride 15 MG Extended Release Oral Tablet
542347,isoflurane 99.9 % Inhalation Solution
1856546,Kyleena 19.5 MG Intrauterine System
351266,buprenorphine 2 MG / naloxone 0.5 MG Sublingual Tablet
1605257,Liletta 52 MG Intrauterine System
1049504,Abuse-Deterrent 12 HR Oxycodone Hydrochloride 10 MG Extended Release Oral Tablet [Oxycontin]
312938,Sertraline 100 MG Oral Tablet
1728805,2 ML morphine sulfate 1 MG/ML Injection
866511,metoprolol tartrate 100 MG Oral Tablet
1736854,Cisplatin 50 MG Injection
205923,1 ML Epoetin Alfa 4000 UNT/ML Injection [Epogen]
859747,rosuvastatin calcium 10 MG Oral Tablet
858817,enalapril maleate 10 MG Oral Tablet
313002,Sodium Chloride 9 MG/ML Injectable Solution
1732136,1 ML Morphine Sulfate 5 MG/ML Injection
1659149,Piperacillin 4000 MG / tazobactam 500 MG Injection
200243,sevoflurane 1000 MG/ML Inhalation Solution
789980,Ampicillin 100 MG/ML Injectable Solution
1648756,nitrofurantoin  macrocrystals 25 MG / nitrofurantoin  monohydrate 75 MG Oral Capsule
2119714,5 ML hyaluronidase-oysk 2000 UNT/ML / trastuzumab 120 MG/ML Injection
866924,metoprolol tartrate 25 MG Oral Tablet
979492,losartan potassium 50 MG Oral Tablet
904467,pravastatin sodium 20 MG Oral Tablet
808917,fosfomycin 3000 MG Powder
310436,Galantamine 4 MG Oral Tablet
235389,Mestranol / Norethynodrel
198211,simvastatin 40 MG Oral Tablet
997223,Donepezil hydrochloride 10 MG Oral Tablet
1100184,Donepezil hydrochloride 23 MG Oral Tablet
1599803,24 HR Donepezil hydrochloride 10 MG / Memantine hydrochloride 28 MG Extended Release Oral Capsule
200033,carvedilol 25 MG Oral Tablet
865098,Insulin Lispro 100 UNT/ML Injectable Solution [Humalog]
895996,120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent]
1790099,10 ML Doxorubicin Hydrochloride 2 MG/ML Injection
1873983,ribociclib 200 MG Oral Tablet
979485,losartan potassium 25 MG Oral Tablet
1807513,vancomycin 1000 MG Injection
2103182,1 ML Vasopressin (USP) 20 UNT/ML Injection
608139,atomoxetine 100 MG Oral Capsule
1431987,24 HR tacrolimus 5 MG Extended Release Oral Capsule
749882,Norinyl 1+50 28 Day Pack
859088,NDA020983 200 ACTUAT albuterol 0.09 MG/ACTUAT Metered Dose Inhaler [Ventolin]
351137,albuterol 0.21 MG/ML Inhalation Solution
866436,24 HR metoprolol succinate 50 MG Extended Release Oral Tablet
1860480,1 ML DOCEtaxel 20 MG/ML Injection
752899,0.25 ML Leuprolide Acetate 30 MG/ML Prefilled Syringe
1656356,sacubitril 97 MG / valsartan 103 MG Oral Tablet
284215,Clindamycin 300mg
643066,efavirenz 600 MG / emtricitabine 200 MG / tenofovir disoproxil fumarate 300 MG Oral Tablet
476556,emtricitabine 200 MG / tenofovir disoproxil fumarate 300 MG Oral Tablet
1359269,darunavir 800 MG Oral Tablet
317150,ritonavir 100 MG Oral Capsule
