procedure_code,description
430193006,Medication reconciliation (procedure)
171207006,Depression screening (procedure)
715252007,Depression screening using Patient Health Questionnaire Nine Item score (procedure)
103697008,Patient referral for dental care (procedure)
34043003,Dental consultation and report (procedure)
225362009,Dental care (regime/therapy)
1260009003,Removal of supragingival plaque and calculus from all teeth using dental instrument (procedure)
1260010008,Removal of subgingival plaque and calculus from all teeth using dental instrument (procedure)
274788003,Examination of gingivae (procedure)
68071007,Dental fluoride treatment (procedure)
243085009,Oral health education (procedure)
288086009,Suture open wound (procedure)
384700001,Injection of tetanus antitoxin (procedure)
252160004,Standard pregnancy test (procedure)
169230002,Ultrasound scan for fetal viability (procedure)
5880005,Physical examination procedure (procedure)
710841007,Assessment of anxiety (procedure)
428211000124100,Assessment of substance use (procedure)
868187001,Assessment using Car  Relax  Alone  Forget  Friends  Trouble Screening Test (procedure)
386516004,Anticipatory guidance (procedure)
10383002,Counseling for termination of pregnancy (procedure)
714812005,Induced termination of pregnancy (procedure)
241046008,Dental plain X-ray bitewing (procedure)
370995009,Health risks education (procedure)
117015009,Throat culture (procedure)
1259293006,Application of composite dental filling material to dentin of tooth following fracture of tooth (procedure)
710824005,Assessment of health and social care needs (procedure)
1256042007,Restoration of tooth with coverage of all cusps using dental filling material (procedure)
866148006,Screening for domestic abuse (procedure)
713106006,Screening for drug abuse (procedure)
762993000,Assessment using Morse Fall Scale (procedure)
133899007,Postoperative care (regime/therapy)
127783003,Spirometry (procedure)
310417005,Certification procedure (procedure)
185087000,Notifications (procedure)
315639002,Initial patient assessment (procedure)
370789001,Development of individualized plan of care (procedure)
385763009,Hospice care (regime/therapy)
410401003,Nursing care/supplementary surveillance (regime/therapy)
91251008,Physical therapy procedure (regime/therapy)
409023009,Professional / ancillary services care (regime/therapy)
225386006,Pre-discharge assessment (procedure)
763302001,Assessment using Alcohol Use Disorders Identification Test - Consumption (procedure)
23426006,Measurement of respiratory function (procedure)
81733005,Dental surgical procedure (procedure)
3802001,Dental application of desensitizing medicament (procedure)
64544008,Gingivectomy or gingivoplasty  per tooth (procedure)
456191000124101,Postoperative care for dental procedure (regime/therapy)
118001005,Streptococcus pneumoniae group B antigen assay (procedure)
274804006,Evaluation of uterine fundal height (procedure)
225158009,Auscultation of the fetal heart (procedure)
47758006,Hepatitis B surface antigen measurement (procedure)
31676001,Human immunodeficiency virus antigen test (procedure)
310861008,Chlamydia antigen test (procedure)
269828009,Syphilis infectious titer test (procedure)
395123002,Urine screening test for diabetes (procedure)
104375008,Hepatitis C antibody  confirmatory test (procedure)
314098000,Rubella screening test (procedure)
104326007,Measurement of Varicella-zoster virus antibody (procedure)
167271000,Urine protein test
275833003,Alpha-fetoprotein test - antenatal (procedure)
399014008,Administration of vaccine product containing only Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae antigens (procedure)
268556000,Urine screening for glucose (procedure)
14768001,Peripheral blood smear interpretation (procedure)
371908008,Oxygen administration by mask (procedure)
399208008,Plain X-ray of chest (procedure)
33367005,Angiography of coronary artery (procedure)
223470000,Discussion about signs and symptoms (procedure)
386053000,Evaluation procedure (procedure)
57617002,Urine specimen collection (procedure)
281789004,Antibiotic therapy (procedure)
180256009,Subcutaneous immunotherapy (procedure)
234745004,Take oral or dental impression (procedure)
65677008,Pulmonary catheterization with Swan-Ganz catheter (procedure)
8290005,Induced cardioplegia (procedure)
23745001,Documentation procedure (procedure)
252482003,Stair-climbing test (procedure)
168594001,Plain X-ray of clavicle (procedure)
58000006,Patient discharge (procedure)
698314001,Consultation for treatment (procedure)
311791003,Information gathering (procedure)
76601001,Intramuscular injection (procedure)
103750000,Sleep apnea assessment (procedure)
31208007,Medical induction of labor (procedure)
40701008,Echocardiography (procedure)
52052004,Rehabilitation therapy (regime/therapy)
265764009,Renal dialysis (procedure)
711446003,Transplantation of kidney regime (regime/therapy)
65546002,Extraction of wisdom tooth (procedure)
110467000,Pre-surgery testing (procedure)
228557008,Cognitive and behavioral therapy (regime/therapy)
410006001,Digital examination of rectum (procedure)
65575008,Biopsy of prostate (procedure)
15081005,Pulmonary rehabilitation (regime/therapy)
24623002,Screening mammography (procedure)
35025007,Manual pelvic examination (procedure)
