drug_code,description
drug_313782,Acetaminophen 325 MG Oral Tablet
drug_856987,Acetaminophen 300 MG / Hydrocodone Bitartrate 5 MG Oral Tablet
drug_562251,Amoxicillin 250 MG / Clavulanate 125 MG Oral Tablet
drug_834061,Penicillin V Potassium 250 MG Oral Tablet
drug_748856,Yaz 28 Day Pack
drug_1648755,nitrofurantoin  macrocrystals 25 MG / nitrofurantoin  monohydrate 75 MG Oral Capsule
drug_1043400,Acetaminophen 21.7 MG/ML / Dextromethorphan Hydrobromide 1 MG/ML / doxylamine succinate 0.417 MG/ML Oral Solution
drug_860975,24 HR Metformin hydrochloride 500 MG Extended Release Oral Tablet
drug_309362,Clopidogrel 75 MG Oral Tablet
drug_1665060,cefazolin 2000 MG Injection
drug_311034,insulin  regular  human 100 UNT/ML Injectable Solution
drug_1808217,100 ML Propofol 10 MG/ML Injection
drug_542347,isoflurane 99.9 % Inhalation Solution
drug_1049625,Acetaminophen 325 MG / Oxycodone Hydrochloride 10 MG Oral Tablet [Percocet]
drug_1860491,12 HR Hydrocodone Bitartrate 10 MG Extended Release Oral Capsule
drug_245134,72 HR Fentanyl 0.025 MG/HR Transdermal System
drug_861467,Meperidine Hydrochloride 50 MG Oral Tablet
drug_310798,Hydrochlorothiazide 25 MG Oral Tablet
drug_314076,lisinopril 10 MG Oral Tablet
