diagnosis_code,description
diagnosis_314529007,Medication review due (situation)
diagnosis_10509002,Acute bronchitis (disorder)
diagnosis_444814009,Viral sinusitis (disorder)
diagnosis_160968000,Risk activity involvement (finding)
diagnosis_48333001,Burn injury (morphologic abnormality)
diagnosis_160903007,Full-time employment (finding)
diagnosis_423315002,Limited social contact (finding)
diagnosis_73595000,Stress (finding)
diagnosis_105531004,Housing unsatisfactory (finding)
diagnosis_82423001,Chronic pain (finding)
diagnosis_1121000119107,Chronic neck pain (finding)
diagnosis_741062008,Not in labor force (finding)
diagnosis_195662009,Acute viral pharyngitis (disorder)
diagnosis_160904001,Part-time employment (finding)
diagnosis_15777000,Prediabetes
diagnosis_312608009,Laceration - injury (disorder)
diagnosis_58150001,Fracture of clavicle
diagnosis_307426000,Acute infective cystitis (disorder)
diagnosis_72892002,Normal pregnancy
diagnosis_428251008,History of appendectomy
diagnosis_302870006,Hypertriglyceridemia (disorder)
diagnosis_80394007,Hyperglycemia (disorder)
diagnosis_399261000,History of coronary artery bypass grafting (situation)
diagnosis_65966004,Fracture of forearm
diagnosis_59621000,Essential hypertension (disorder)
